City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pama,11.2497,0.7075,23.83,15,20,2.26,BF,1708668634
83,punta arenas,-53.15,-70.9167,5.06,70,0,13.38,CL,1708668504
84,kapa'a,22.0752,-159.319,23.39,76,86,3.13,US,1708668635
85,new norfolk,-42.7826,147.0587,19.72,67,100,4.96,AU,1708668635
86,macas,-2.3167,-78.1167,20.45,93,96,1.63,EC,1708668636
87,nogliki,51.8333,143.1667,-15.92,72,91,5.81,RU,1708668636
88,taro,-8.3862,115.28,28.0,82,99,0.8,ID,1708668637
89,queenstown,-31.8976,26.8753,17.93,71,73,1.59,ZA,1708668514
90,port alfred,-33.5906,26.891,20.1,98,100,0.89,ZA,1708668638
91,cabo san lucas,22.8909,-109.9124,20.34,76,92,1.54,MX,1708668629
92,kokstad,-30.5472,29.4241,18.11,82,38,1.19,ZA,1708668639
93,rajanpur,29.1035,70.325,21.21,13,0,1.3,PK,1708668639
94,yeniseysk,58.4497,92.1703,-21.7,93,98,0.89,RU,1708668475
95,valle de banderas,20.8,-105.2333,21.45,86,60,1.12,MX,1708668640
96,yellowknife,62.456,-114.3525,-13.1,96,100,5.81,CA,1708668541
97,susuman,62.7833,148.1667,-25.01,96,100,0.89,RU,1708668641
98,motueka,-41.1333,173.0167,20.03,62,0,1.49,NZ,1708668642
99,bredasdorp,-34.5322,20.0403,17.86,69,9,3.85,ZA,1708668642
100,fuling,29.7022,107.3919,4.6,82,100,1.37,CN,1708668643
101,port hedland,-20.3167,118.5667,34.03,62,75,8.23,AU,1708668643
102,lieksa,63.3167,30.0167,0.4,96,100,5.62,FI,1708668644
103,songling,31.1933,120.7176,2.6,79,100,3.97,CN,1708668359
104,georgetown,5.4112,100.3354,31.96,66,20,4.63,MY,1708668494
105,oranjemund,-28.55,16.4333,15.94,89,53,3.03,NA,1708668648
106,kencong,-8.2833,113.3667,30.32,74,100,2.86,ID,1708668648
107,orhei,47.3831,28.8231,5.99,78,100,5.89,MD,1708668648
108,jayapura,-2.5333,140.7,29.66,77,96,3.75,ID,1708668649
109,rioja,-29.4111,-66.8507,20.79,87,67,4.69,AR,1708668649
110,hamilton,39.1834,-84.5333,8.76,92,100,4.63,US,1708668546
111,ilulissat,69.2167,-51.1,-11.99,72,100,0.0,GL,1708668650
112,qamdo,31.1667,97.2333,1.45,27,79,11.89,CN,1708668651
113,santo antonio,-6.3106,-35.4789,23.72,94,48,2.17,BR,1708668651
114,hong kong,22.2855,114.1577,20.69,83,99,6.71,HK,1708668424
115,gravina in puglia,40.8197,16.4228,8.26,87,95,2.14,IT,1708668505
116,posto fiscal rolim de moura,-13.0833,-62.2667,22.26,99,100,1.12,BR,1708668653
117,papao,-17.75,-149.55,28.82,77,87,1.59,PF,1708668653
118,fort st. john,56.2499,-120.8529,2.17,60,23,8.22,CA,1708668654
119,nadym,65.5333,72.5167,-16.34,96,81,4.79,RU,1708668654
120,zaterechnyy,44.7931,45.2097,0.77,86,100,6.33,RU,1708668655
121,vieux-conde,50.4594,3.5674,5.54,73,80,9.39,FR,1708668655
122,ketchikan,55.3422,-131.6461,5.26,93,75,6.69,US,1708668656
123,utrik,11.2278,169.8474,26.37,86,43,9.58,MH,1708668656
124,chonchi,-42.6128,-73.8092,10.56,77,35,0.92,CL,1708668657
125,jamestown,42.097,-79.2353,5.77,100,100,0.89,US,1708668374
126,mili,6.0815,171.735,27.78,81,72,9.0,MH,1708668657
127,devils lake,48.1128,-98.8651,-1.94,86,100,4.12,US,1708668658
128,pasni,25.2631,63.471,23.0,24,0,2.93,PK,1708668658
129,puerto baquerizo moreno,-0.9,-89.6,26.14,84,51,2.93,EC,1708668659
130,saint-philippe,-21.3585,55.7679,27.77,77,97,4.72,RE,1708668659
131,pisco,-13.7,-76.2167,23.03,88,0,5.66,PE,1708668660
132,keflavik,64.0049,-22.5624,1.24,75,48,6.17,IS,1708668660
133,moose jaw,50.4001,-105.5344,-5.51,91,37,2.81,CA,1708668661
134,ponta delgada,37.7333,-25.6667,13.4,67,75,2.57,PT,1708668661
135,ancud,-41.8697,-73.8203,8.97,86,10,1.82,CL,1708668662
136,vila velha,-20.3297,-40.2925,24.97,96,100,2.68,BR,1708668662
137,batavia,41.85,-88.3126,9.49,59,0,5.14,US,1708668410
138,hasaki,35.7333,140.8333,4.05,92,100,10.62,JP,1708668663
139,santyoku,37.4406,129.1708,2.19,76,100,4.44,KR,1708668664
140,jijel,36.8205,5.7667,14.15,53,81,3.63,DZ,1708668664
141,brokopondo,4.75,-55.1667,25.33,73,63,3.96,SR,1708668665
142,horqueta,-23.3428,-57.0597,24.77,66,15,2.37,PY,1708668666
143,bahia de caraquez,-0.6,-80.4167,26.1,89,94,0.41,EC,1708668666
144,al hufuf,25.3646,49.5653,19.68,34,0,1.97,SA,1708668667
